character_id,voice_actor,scenario,aggression_bucket,clip_type,file_name,folder_path,dialogue_text,recording_note
saraswati_chetti,,CustomerGreeting,,full,customer_greeting.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,"Namaskara, merchant. I am looking for good {spiceName} for my shop.",Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,RepeatCustomerGreeting,,full,repeat_customer_greeting.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,"Namaskara again. If the spice is good, I will buy from you happily.",Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,AskWhatBuyerWants,,full,ask_what_buyer_wants.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,I need {quantityLabel} of {spiceName} for trade and temple customers.,Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,AskBuyerBudget,,prefix,ask_buyer_budget.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,I can offer,Prefix clip. Stop before spoken price/number.
saraswati_chetti,,AskQuantity,,full,ask_quantity.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,I need {quantityLabel} of {spiceName} for my shop shelves.,Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,SellerPriceTooHigh,,full,seller_price_too_high.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,That price is too high for me.,Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,SellerPriceTooHigh,low,full,seller_price_too_high_low.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,The price is a little high. Can you bring it down with care?,Full aggression variant: low. Preserve the character tone.
saraswati_chetti,,SellerPriceTooHigh,medium,full,seller_price_too_high_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,That price is too high. Good quality also needs a fair rate.,Full aggression variant: medium. Preserve the character tone.
saraswati_chetti,,SellerPriceTooHigh,high,full,seller_price_too_high_high.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,"No, that is too much. I know what fine spice should cost in this bazaar.",Full aggression variant: high. Preserve the character tone.
saraswati_chetti,,SellerPriceSlightlyHigh,,prefix,seller_price_slightly_high.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,"The spice is good, but make it",Prefix clip. Stop before spoken price/number.
saraswati_chetti,,SellerPriceAccepted,,full,seller_price_accepted.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,That is fair. I accept with a clear mind.,Full line. Preserve character identity and conversational delivery.
saraswati_chetti,,SellerPriceBelowExpected,,full,seller_price_below_expected.wav,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,That price is better than I expected. Good.,Full line. Preserve character identity and conversational delivery.
