character_id,voice_actor,scenario,aggression_bucket,clip_type,file_name,folder_path,dialogue_text,recording_note
abdul_rahman,,CustomerGreeting,,full,customer_greeting.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"Peace be upon you, merchant. I came for Vijayanagara spices from the western ports.",Full line. Preserve character identity and conversational delivery.
abdul_rahman,,RepeatCustomerGreeting,,full,repeat_customer_greeting.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"Peace be upon you again. Let us trade fairly, as men of the road should.",Full line. Preserve character identity and conversational delivery.
abdul_rahman,,AskWhatBuyerWants,,full,ask_what_buyer_wants.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,I need {quantityLabel} of {spiceName} for the next caravan and port journey.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,AskBuyerBudget,,prefix,ask_buyer_budget.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I can offer,Prefix clip. Stop before spoken price/number.
abdul_rahman,,AskQuantity,,full,ask_quantity.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,I need {quantityLabel} of {spiceName} for the next road from port to caravan.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,SellerPriceTooHigh,,full,seller_price_too_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,That price is too high for me.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,SellerPriceTooHigh,low,full,seller_price_too_high_low.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"Friend, the spice is good, but my journey has already cost many coins.",Full aggression variant: low. Preserve the character tone.
abdul_rahman,,SellerPriceTooHigh,medium,full,seller_price_too_high_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,I have traded in Calicut and Goa. This price is higher than expected.,Full aggression variant: medium. Preserve the character tone.
abdul_rahman,,SellerPriceTooHigh,high,full,seller_price_too_high_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Do not mistake me for a new trader. I know the value of these spices.,Full aggression variant: high. Preserve the character tone.
abdul_rahman,,SellerPriceSlightlyHigh,,prefix,seller_price_slightly_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,A little high. Make it,Prefix clip. Stop before spoken price/number.
abdul_rahman,,SellerPriceAccepted,,full,seller_price_accepted.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,That is fair. I accept it as a good trader would.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,SellerPriceBelowExpected,,full,seller_price_below_expected.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,That price is better than I expected. Good.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,BuyerCounterFirst,,prefix,initial_offer_01.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I can offer,Prefix clip. Stop before spoken price/number.
abdul_rahman,,BuyerCounterMiddle,,prefix,counter_offer_01.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I can increase my offer to,Prefix clip. Stop before spoken price/number.
abdul_rahman,,BuyerCounterMiddle,low,prefix,counter_offer_01_low.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,"I can increase a little, to",Prefix clip for low aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerCounterMiddle,medium,prefix,counter_offer_01_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I can increase my offer to,Prefix clip for medium aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerCounterMiddle,high,prefix,counter_offer_01_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I can increase to,Prefix clip for high aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerCounterFinal,,prefix,final_counter_offer_01.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,My final offer is,Prefix clip. Stop before spoken price/number.
abdul_rahman,,BuyerCounterFinal,low,prefix,final_counter_offer_01_low.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,My final offer is,Prefix clip for low aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerCounterFinal,medium,prefix,final_counter_offer_01_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,My final offer is,Prefix clip for medium aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerCounterFinal,high,prefix,final_counter_offer_01_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,My final offer is,Prefix clip for high aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerHoldsFirm,,prefix,hold_firm_01.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I must stay at,Prefix clip. Stop before spoken price/number.
abdul_rahman,,BuyerHoldsFirm,low,prefix,hold_firm_01_low.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I must stay at,Prefix clip for low aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerHoldsFirm,medium,prefix,hold_firm_01_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I must stay at,Prefix clip for medium aggression variant. Stop before spoken price/number.
abdul_rahman,,BuyerHoldsFirm,high,prefix,hold_firm_01_high.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,I must stay at,Prefix clip for high aggression variant. Stop before spoken price/number.
abdul_rahman,,PlayerAcceptedDeal,,prefix,accept_price_01.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/prefix/,Good. We settle at,Prefix clip. Stop before spoken price/number.
abdul_rahman,,PlayerRejectedBuyerOffer,,full,player_rejected_buyer_offer.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Then we have no deal today. Many markets wait beyond this one.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,HistoryQuestion,,full,history_question.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"I have seen Calicut, Goa, and many roads besides. Still, first let us finish this trade.",Full line. Preserve character identity and conversational delivery.
abdul_rahman,,SocialGreeting,,full,social_greeting.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"You speak kindly, merchant. Let us make a fair bargain worthy of travellers and traders.",Full line. Preserve character identity and conversational delivery.
abdul_rahman,,OffTopic,,full,off_topic.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,"Let us stay with the trade, friend. The caravan road gives no time for wandering words.",Full line. Preserve character identity and conversational delivery.
abdul_rahman,,UnclearSpeech,,full,unclear_speech.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,I did not hear you clearly over the bazaar. {ruleReply},Full line. Preserve character identity and conversational delivery.
abdul_rahman,,TransactionSuccess,,full,transaction_success.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Good trade. I will remember this stall when I next return by sea and road.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,TransactionFailure,,full,transaction_failure.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Then I will leave without buying today and carry my coins to another stall.,Full line. Preserve character identity and conversational delivery.
abdul_rahman,,TransactionFailure,low,full,transaction_failure_low.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Then I will leave it for now. Perhaps another merchant will meet me better.,Full aggression variant: low. Preserve the character tone.
abdul_rahman,,TransactionFailure,medium,full,transaction_failure_medium.wav,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,Then I will go. We are not agreeing like men of fair trade today.,Full aggression variant: medium. Preserve the character tone.
