section,character_id,scenario,aggression_bucket,variable_group,part_order,clip_category,file_name,spoken_text_to_record,unity_folder,sequence_example,notes
FULL_DIALOGUE_CLIPS,abdul_rahman,CustomerGreeting,,,1,full,greeting_01.wav,"Peace be upon you, merchant. I came for Vijayanagara spices from the western ports.",Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,greeting_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,HistoryQuestion,,,1,full,history_question_01.wav,"I have seen Calicut, Goa, and many roads besides. Still, first let us finish this trade.",Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,history_question_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,OffTopic,,,1,full,off_topic_01.wav,"Let us stay with the trade, friend. The caravan road gives no time for wandering words.",Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,off_topic_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,PlayerRejectedBuyerOffer,,,1,full,reject_offer_01.wav,Then we have no deal today. Many markets wait beyond this one.,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,reject_offer_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,RepeatCustomerGreeting,,,1,full,greeting_02.wav,"Peace be upon you again. Let us trade fairly, as men of the road should.",Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,greeting_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,SellerPriceAccepted,,,1,full,accept_deal_01.wav,That is fair. I accept it as a good trader would.,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,accept_deal_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,SellerPriceBelowExpected,,,1,full,seller_price_below_expected_01.wav,That price is better than I expected. Good.,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,seller_price_below_expected_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,SellerPriceTooHigh,,,1,full,price_too_high_01.wav,That price is too high for me.,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,price_too_high_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,SellerPriceTooHigh,low,,1,full,price_too_high_02.wav,"Friend, the spice is good, but my journey has already cost many coins.",Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,price_too_high_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,abdul_rahman,SellerPriceTooHigh,medium,,1,full,price_too_high_03.wav,I have traded in Calicut and Goa. This price is higher than expected.,Assets/_Project/Audio/NPCVoices/Level1/abdul_rahman/full/,price_too_high_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
