section,character_id,scenario,aggression_bucket,variable_group,part_order,clip_category,file_name,spoken_text_to_record,unity_folder,sequence_example,notes
FULL_DIALOGUE_CLIPS,saraswati_chetti,HistoryQuestion,,,1,full,history_question_01.wav,"Hampi's temples and markets teach many things, but first let us finish this trade.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,history_question_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,OffTopic,,,1,full,off_topic_01.wav,"Let us stay with the spice, merchant. Trade also has its discipline.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,off_topic_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,PlayerRejectedBuyerOffer,,,1,full,reject_offer_01.wav,Then we have no deal today. I do not trade without balance.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,reject_offer_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,RepeatCustomerGreeting,,,1,full,greeting_02.wav,"Namaskara again. If the spice is good, I will buy from you happily.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,greeting_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceAccepted,,,1,full,accept_deal_01.wav,That is fair. I accept with a clear mind.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,accept_deal_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceBelowExpected,,,1,full,seller_price_below_expected_01.wav,That price is better than I expected. Good.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,seller_price_below_expected_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceTooHigh,,,1,full,price_too_high_01.wav,That price is too high for me.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,price_too_high_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceTooHigh,low,,1,full,price_too_high_02.wav,The price is a little high. Can you bring it down with care?,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,price_too_high_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceTooHigh,medium,,1,full,price_too_high_03.wav,That price is too high. Good quality also needs a fair rate.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,price_too_high_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SellerPriceTooHigh,high,,1,full,price_too_high_04.wav,"No, that is too much. I know what fine spice should cost in this bazaar.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,price_too_high_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,SocialGreeting,,,1,full,social_greeting_01.wav,You speak well. Now let us see if the spice and the price both have honour.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,social_greeting_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TimePressure,,,1,full,time_pressure_01.wav,I cannot wait too long. Shop work and temple orders are waiting.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,time_pressure_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TimePressure,low,,1,full,time_pressure_02.wav,Please decide soon. I still have shop work and temple orders waiting.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,time_pressure_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TimePressure,medium,,1,full,time_pressure_03.wav,"Decide now, merchant. The market is moving and I must return.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,time_pressure_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TimePressure,high,,1,full,time_pressure_04.wav,Enough waiting. Decide now or I will take my business elsewhere.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,time_pressure_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TransactionFailure,,,1,full,walk_away_01.wav,Then I will look at another stall with better balance of price and quality.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,walk_away_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TransactionFailure,low,,1,full,walk_away_02.wav,Then I will leave it for now. Perhaps another merchant will match the quality.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,walk_away_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TransactionFailure,medium,,1,full,walk_away_03.wav,Then I will go. We are not agreeing on a worthy bargain today.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,walk_away_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TransactionFailure,high,,1,full,walk_away_04.wav,"No deal. Reputation also has a price, and this is not it.",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,walk_away_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,TransactionSuccess,,,1,full,transaction_success_01.wav,Good trade. My family name will be safe on this purchase.,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,transaction_success_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,UnclearSpeech,,,1,full,clarification_01.wav,I did not understand properly. Please speak clearly. please speak clearly,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,clarification_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,saraswati_chetti,Unknown,,,1,full,fallback_01.wav,Please say it clearly. please speak clearly,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/full/,fallback_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskBuyerBudget,,,1,prefix,initial_offer_01.wav,I can offer,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,initial_offer_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,CustomerGreeting,,,1,prefix,greeting_01.wav,"Namaskara, merchant. I am looking for good",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,greeting_01.wav + spice_pepper.wav + for_my_shop.wav,Character-specific prefix for dynamic spice greeting.
STITCHED_SCENARIO_PARTS,saraswati_chetti,CustomerGreeting,,,2,suffix,for_my_shop.wav,for my shop,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,greeting_01.wav + spice_pepper.wav + for_my_shop.wav,Shared suffix used after the spice name.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskWhatBuyerWants,,,1,prefix,ask_spice_01.wav,I need,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_trade_and_temple_customers.wav,Character-specific prefix for quantity and spice request.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskWhatBuyerWants,,,2,suffix,of.wav,of,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_trade_and_temple_customers.wav,Shared connector between quantity and spice.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskWhatBuyerWants,,,3,suffix,for_trade_and_temple_customers.wav,for trade and temple customers,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_trade_and_temple_customers.wav,Shared suffix after spice name.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskQuantity,,,1,prefix,ask_quantity_01.wav,I need,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_shop_shelves.wav,Character-specific prefix for quantity answer.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskQuantity,,,2,suffix,of.wav,of,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_shop_shelves.wav,Shared connector between quantity and spice.
STITCHED_SCENARIO_PARTS,saraswati_chetti,AskQuantity,,,3,suffix,for_my_shop_shelves.wav,for my shop shelves,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_shop_shelves.wav,Shared suffix after spice name.
STITCHED_SCENARIO_PARTS,saraswati_chetti,SellerPriceSlightlyHigh,,,1,prefix,counter_offer_01.wav,"The spice is good, but make it",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,counter_offer_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterFirst,,,1,prefix,initial_offer_02.wav,I can offer,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,initial_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterFirst,,,2,suffix,for.wav,for,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,initial_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Shared suffix used between price and spice name.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterMiddle,,,1,prefix,counter_offer_02.wav,I can increase my offer to,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,counter_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterMiddle,low,,1,prefix,counter_offer_03.wav,"I can increase a little, to",Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,counter_offer_03.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterMiddle,medium,,1,prefix,counter_offer_04.wav,I can increase my offer to,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,counter_offer_04.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterMiddle,high,,1,prefix,counter_offer_05.wav,I can increase to,Assets/_Project/Audio/NPCVoices/Level1/saraswati_chetti/prefix/,counter_offer_05.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,saraswati_chetti,BuyerCounterMiddle,,,2,suffix,for.wav,for,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,counter_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Shared suffix used between price and spice name.
