section,character_id,scenario,aggression_bucket,variable_group,part_order,clip_category,file_name,spoken_text_to_record,unity_folder,sequence_example,notes
FULL_DIALOGUE_CLIPS,lakshmi_amma,HistoryQuestion,,,1,full,history_question_01.wav,"Hampi has many stories, but first let me finish buying for the house.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,history_question_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,OffTopic,,,1,full,off_topic_01.wav,"Come, come, let us talk about the spice and the price.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,off_topic_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,PlayerRejectedBuyerOffer,,,1,full,reject_offer_01.wav,Then we have no deal now. I cannot carry empty kitchen talk home.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,reject_offer_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,RepeatCustomerGreeting,,,1,full,greeting_02.wav,"Ayyo, we meet again. Come, let us settle this like market people.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,greeting_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceAccepted,,,1,full,accept_deal_01.wav,That is fair. I will take it for the house.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,accept_deal_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceBelowExpected,,,1,full,seller_price_below_expected_01.wav,"Ah, that price is kinder than I expected.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,seller_price_below_expected_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceTooHigh,,,1,full,price_too_high_01.wav,"Ayyo, that price is too high for me.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,price_too_high_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceTooHigh,low,,1,full,price_too_high_02.wav,"The price is a little high, child. Reduce it a bit.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,price_too_high_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceTooHigh,medium,,1,full,price_too_high_03.wav,That price is too high. Give me a better market rate.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,price_too_high_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SellerPriceTooHigh,high,,1,full,price_too_high_04.wav,"No, no. That is too much. I run a house, not a treasury.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,price_too_high_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,SocialGreeting,,,1,full,social_greeting_01.wav,"You speak nicely, merchant. Now give me a fair bazaar price.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,social_greeting_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TimePressure,,,1,full,time_pressure_01.wav,"I cannot wait too long, merchant. The cooking and errands are waiting.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,time_pressure_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TimePressure,low,,1,full,time_pressure_02.wav,Please decide soon. I still have cooking and errands waiting.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,time_pressure_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TimePressure,medium,,1,full,time_pressure_03.wav,"Decide now, merchant. The market day will not stand still.",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,time_pressure_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TimePressure,high,,1,full,time_pressure_04.wav,Enough waiting. Decide now or I will walk to the next stall.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,time_pressure_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TransactionFailure,,,1,full,walk_away_01.wav,Then I will leave it for today and try another bazaar stall.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,walk_away_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TransactionFailure,low,,1,full,walk_away_02.wav,Then I will leave it for now. Maybe another market day.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,walk_away_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TransactionFailure,medium,,1,full,walk_away_03.wav,Then I will go. We are not agreeing like sensible people today.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,walk_away_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TransactionFailure,high,,1,full,walk_away_04.wav,No deal. I have wasted enough market time here.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,walk_away_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,TransactionSuccess,,,1,full,transaction_success_01.wav,Good trade. This will go straight to my kitchen jars.,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,transaction_success_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,UnclearSpeech,,,1,full,clarification_01.wav,"Ayyo, I did not catch that clearly. please speak clearly",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,clarification_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,lakshmi_amma,Unknown,,,1,full,fallback_01.wav,Please say it clearly. please speak clearly,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/full/,fallback_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskBuyerBudget,,,1,prefix,initial_offer_01.wav,"For my household money, I can offer",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,initial_offer_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,CustomerGreeting,,,1,prefix,greeting_01.wav,"Namaskara, merchant. I need some",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,greeting_01.wav + spice_pepper.wav + for_the_house_today.wav,Character-specific prefix for dynamic spice greeting.
STITCHED_SCENARIO_PARTS,lakshmi_amma,CustomerGreeting,,,2,suffix,for_the_house_today.wav,for the house today,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,greeting_01.wav + spice_pepper.wav + for_the_house_today.wav,Shared suffix used after the spice name.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskWhatBuyerWants,,,1,prefix,ask_spice_01.wav,I need,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_cooking_and_festival_dishes.wav,Character-specific prefix for quantity and spice request.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskWhatBuyerWants,,,2,suffix,of.wav,of,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_cooking_and_festival_dishes.wav,Shared connector between quantity and spice.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskWhatBuyerWants,,,3,suffix,for_cooking_and_festival_dishes.wav,for cooking and festival dishes,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_spice_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_cooking_and_festival_dishes.wav,Shared suffix after spice name.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskQuantity,,,1,prefix,ask_quantity_01.wav,I need,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_kitchen_jars.wav,Character-specific prefix for quantity answer.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskQuantity,,,2,suffix,of.wav,of,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_kitchen_jars.wav,Shared connector between quantity and spice.
STITCHED_SCENARIO_PARTS,lakshmi_amma,AskQuantity,,,3,suffix,for_my_kitchen_jars.wav,for my kitchen jars,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,ask_quantity_01.wav + quantity_1_seer.wav + of.wav + spice_pepper.wav + for_my_kitchen_jars.wav,Shared suffix after spice name.
STITCHED_SCENARIO_PARTS,lakshmi_amma,SellerPriceSlightlyHigh,,,1,prefix,counter_offer_01.wav,"Hmm, a little costly. Make it",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,counter_offer_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFirst,,,1,prefix,initial_offer_02.wav,I can offer,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,initial_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFirst,,,2,suffix,for.wav,for,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,initial_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Shared suffix used between price and spice name.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterMiddle,,,1,prefix,counter_offer_02.wav,I can increase my offer to,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,counter_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterMiddle,low,,1,prefix,counter_offer_03.wav,"I can increase a little, to",Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,counter_offer_03.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterMiddle,medium,,1,prefix,counter_offer_04.wav,I can increase my offer to,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,counter_offer_04.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterMiddle,high,,1,prefix,counter_offer_05.wav,I can increase to,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,counter_offer_05.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterMiddle,,,2,suffix,for.wav,for,Assets/_Project/Audio/NPCVoices/Level1/shared/suffix/,counter_offer_02.wav + number_30.wav + currency_varahas.wav + for.wav + spice_pepper.wav,Shared suffix used between price and spice name.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFinal,,,1,prefix,final_counter_offer_01.wav,My final offer is,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,final_counter_offer_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFinal,low,,1,prefix,final_counter_offer_02.wav,My final offer is,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,final_counter_offer_02.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFinal,medium,,1,prefix,final_counter_offer_03.wav,My final offer is,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,final_counter_offer_03.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerCounterFinal,high,,1,prefix,final_counter_offer_04.wav,My final offer is,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,final_counter_offer_04.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerHoldsFirm,,,1,prefix,hold_firm_01.wav,I must stay at,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,hold_firm_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerHoldsFirm,low,,1,prefix,hold_firm_02.wav,I must stay at,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,hold_firm_02.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerHoldsFirm,medium,,1,prefix,hold_firm_03.wav,I must stay at,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,hold_firm_03.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,BuyerHoldsFirm,high,,1,prefix,hold_firm_04.wav,I must stay at,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,hold_firm_04.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
STITCHED_SCENARIO_PARTS,lakshmi_amma,PlayerAcceptedDeal,,,1,prefix,accept_price_01.wav,Good. We settle at,Assets/_Project/Audio/NPCVoices/Level1/lakshmi_amma/prefix/,accept_price_01.wav + number_30.wav + currency_varahas.wav,Character-specific prefix. Record once for this scenario variant.
SHARED_VARIABLES,lakshmi_amma,,,NUMBERS,1,variable,number_1.wav,one,Assets/_Project/Audio/NPCVoices/Level1/shared/variable/,,Shared reusable clip included here so the actor can record from one sheet.
SHARED_VARIABLES,lakshmi_amma,,,NUMBERS,2,variable,number_2.wav,two,Assets/_Project/Audio/NPCVoices/Level1/shared/variable/,,Shared reusable clip included here so the actor can record from one sheet.
